"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24"
"166.05110.9977",-0.16728,0.11779,-0.073772,0.032973,0.077294,0.11914,-0.11124,0.31688,0.17947,0.25483,0.02058,0.16853,-0.36772,0.069314,-0.069254,-0.24684,0.22688,-0.0064638,-0.18678,-0.12576,-0.17022,0.09904,0.0036035,-0.056421
"166.05111.0071",-0.1626,0.1254,-0.13598,-0.077415,0.021193,0.1261,-0.072491,0.058866,0.098235,0.11743,-0.34788,0.12506,0.22321,0.16122,-0.22223,-0.13176,-0.26159,0.048653,-0.32094,0.12798,0.30548,-0.10315,-0.082682,-0.080462
"166.08630.9082",-0.19872,-0.013958,-0.018057,-0.11682,-0.020718,0.017251,0.075253,0.035392,0.00013505,0.025091,-0.031183,0.014265,-0.017581,0.057683,0.075927,-0.0075791,0.0005528,-0.053023,0.069569,-0.084315,0.041299,-0.023968,-0.058578,-0.0018492
"168.07470.6301",-0.15131,0.18474,-0.041415,0.1186,-0.054292,0.035618,-0.071405,0.0043655,-0.052705,-0.011795,-0.050263,0.034633,0.039486,-0.10827,0.029737,-0.022672,-0.046865,0.12677,0.11681,-0.065836,0.034091,-0.071992,0.023047,-0.11445
"170.09240.5936",-0.011877,-0.26781,0.037642,0.15439,0.16511,0.0047717,-0.11607,0.15294,-0.047767,-0.22402,0.046722,0.073545,-0.12767,0.30737,-0.0085579,-0.030959,-0.045902,-0.052913,-0.025767,-0.011194,0.24024,0.14883,0.1149,0.073742
"175.1190.5603",0.1586,0.050179,0.023243,-0.25726,-0.094304,0.11583,-0.31678,0.040066,0.16091,0.060427,-0.029551,0.018415,0.06814,0.27783,-0.33946,0.0046721,-0.047163,-0.029862,0.15335,0.14028,-0.17723,0.10196,-0.011795,0.092327
"176.07060.6945",-0.16097,-0.11231,-0.063281,0.03517,0.14028,0.081004,-0.041068,-0.13252,0.52198,-0.1861,-0.27568,0.082383,0.025428,-0.33772,-0.31365,0.18446,0.17037,-0.14577,0.25435,-0.11379,0.017158,0.12455,0.0089734,0.051414
"176.1030.9243",-0.16276,-0.13287,-0.044878,0.078329,-0.17101,0.16282,-0.14995,-0.093064,-0.051427,-0.11634,0.03167,-0.0070382,-0.10209,-0.07123,0.086443,0.24629,0.17529,-0.082353,-0.32418,0.28978,0.16794,0.054938,-0.1438,0.093069
"180.08660.7301",0.16528,0.13859,-0.0060791,-0.13954,-0.14201,0.069429,-0.077991,-0.069427,-0.081404,-0.018263,-0.095041,0.14472,-0.089909,-0.072178,0.016145,0.014942,0.15778,-0.046937,0.10947,0.11402,0.042879,0.17618,-0.23367,0.070104
"182.08120.9476",-0.15716,0.047963,-0.0065072,-0.10401,-0.35199,0.11265,-0.23464,-0.085408,-0.084646,-0.15428,-0.076414,-0.17789,-0.02648,-0.1059,0.18244,-0.27074,-0.15478,0.095005,0.053233,0.19803,-0.11084,0.19326,0.087232,0.0055326
"189.16030.55",0.010278,-0.0036075,-0.25565,-0.2417,0.46001,0.010108,-0.17066,-0.24366,0.036605,-0.05324,0.26273,0.15503,0.23653,-0.23943,0.17361,-0.40846,-0.06521,-0.06952,-0.039227,0.067327,0.04032,-0.087477,0.15218,0.059116
"204.1230.7251",0.16137,-0.14928,-0.085943,-0.097787,0.1125,0.13278,0.020612,0.063321,-0.022219,-0.12335,-0.0032691,0.010478,-0.12303,0.00021898,-0.016324,-0.094383,0.16054,0.10256,-0.12406,0.19429,0.1044,-0.29121,0.029057,-0.067863
"205.09720.91",-0.16224,-0.14748,-0.052848,0.089717,-0.157,0.051354,-0.14038,-0.055868,-0.079266,-0.10872,0.119,0.11955,0.044346,-0.16675,-0.054009,0.070401,0.10417,0.01981,-0.13669,0.0099298,-0.088861,-0.14872,-0.057079,-0.057109
"218.13870.7483",0.14362,-0.1132,-0.13145,-0.26151,0.005315,-0.080339,0.013164,0.15159,-0.015061,-0.18877,-0.086166,0.00015358,0.37115,0.19008,0.23725,0.20759,0.22206,-0.084654,-0.14517,-0.15881,-0.067846,-0.13651,-0.32589,0.073379
"238.09471.1082",0.15973,0.15413,0.030516,-0.13373,-0.14573,0.056795,-0.081456,0.013791,0.047328,-0.070619,-0.014869,0.03376,-0.015119,-0.14557,0.15154,0.01404,0.040539,0.12735,0.081132,-0.021421,0.11817,0.077808,-0.001244,0.00075994
"252.10911.1525",0.15923,0.15824,0.0028982,-0.13494,-0.040746,0.12244,-0.10094,-0.18263,0.047831,-0.02974,0.04058,0.041146,-0.050174,0.096922,0.088238,0.14163,0.1088,0.022209,0.14,0.044727,0.13669,0.035239,-0.033371,-0.01425
"298.11460.843",0.1034,-0.16995,-0.27671,0.13094,-0.030377,0.057038,-0.11486,-0.017768,-0.06082,-0.04302,0.020425,0.060588,0.24067,0.049416,-0.15635,0.12385,-0.05662,0.35673,0.17078,-0.21093,-0.209,-0.13443,0.055722,0.038439
"307.08331.0435",0.14269,-0.16416,-0.16589,0.10846,-0.13855,0.025499,-0.08348,-0.00023715,-0.010414,-0.071431,-0.01456,-0.042499,-0.10143,0.046742,0.0026123,-0.057324,-0.23812,0.18582,-0.016734,-0.25549,-0.091521,0.10392,-0.052838,0.036253
